Claim ID,Video ID,Uploader,Video Title,Claim Type,Claim Status,Claim Origin,Claim Source,Video Views,Claim Date,ID
 -yb4Ld016L8,y2OTp67d4Zk,VINE GENERATION New Channel,*NEW* Best Vine Compilation March 2014 (350+ Funniest Vines) - Best Vines - Funny Vines,Audio/Visual,Active,Search,User Uploaded,161938,Wed Mar 26 10:12:32 PDT 2014,3
4as1A09h_F8,MjTKH7AFQVI,Zap2Spi0n,Le Zap de Vine nå¡4,Audio/Visual,Active,Search,User Uploaded,35524,Tue Mar 25 17:27:14 PDT 2014,3
5ITUT_dF23U,TXXQVGVfm9M,Zap2Spi0n,Le Zap de Vine nå¡1,Audio/Visual,Active,Search,User Uploaded,34160,Tue Mar 25 17:00:42 PDT 2014,3
JwrjskWSFLQ,ddaxnlw3h1w,Zap2Spi0n,Le Zap de Vine nå¡5,Audio/Visual,Active,Search,User Uploaded,44924,Tue Mar 25 16:44:16 PDT 2014,3
xiCSSgSTu2w,zHrY61297HA,VineDaily,"Vine Daily‰ã¢ ‰Ñã Tuesday, March 25th, 2014 ‰÷É Vine Compilation",Audio/Visual,Active,Search,User Uploaded,301,Tue Mar 25 15:52:20 PDT 2014,3
1Zqxo0eTRrQ,mx9G2JyST8g,LeZappDeSpi0n,Best VINES of SEPTEMBER 2013 Compilation (77 VINES),Audio/Visual,Active,Search,User Uploaded,18067,Tue Mar 25 10:54:52 PDT 2014,3
uGdQM27ErqU,4pVsn3tdcX0,Vine Videos,Best  of OCTOBER 2013 VINES Compilation+,Audio/Visual,Active,Search,User Uploaded,6773,Mon Mar 24 16:53:32 PDT 2014,3
nCsG0DKTMg4,2WR8yNfkTsg,Zap de SpiOn,Best VINES of SEPTEMBER 2013 Compilation (77 VINES) | EPIC VINES,Audio/Visual,Active,Search,User Uploaded,15763,Mon Mar 24 16:38:48 PDT 2014,3
8wFtiDxoTFM,PROaoFfjeuo,Daily Fails & Vines Compilations (Best Vines),NEW Best Vines Compilation Of March 2014 - Funny Vines - Ultimate Best Vines - Funniest Vines,Audio/Visual,Active,Search,User Uploaded,5488,Mon Mar 24 13:59:57 PDT 2014,3
qCiXhsIG7oo,9xhaHHk_BL8,buzzvines,Best VINES Compilation of March 2014 - Best & Funniest 150+ Vines,Audio/Visual,Active,Search,User Uploaded,97597,Mon Mar 24 11:37:49 PDT 2014,3
