Id,Name,Email,Collab,Created at,Updated at,Id [Clips],Title [Clips],Time tag [Clips],Created at [Clips],Updated at [Clips],Id [Videos],Title [Videos],Channel [Videos],Url [Videos],Youtube [Videos],Special [Videos],Description [Videos],Created at [Videos],Updated at [Videos]
1,Alabama Boss, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
2,Amymarie Gaertner, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27",80, - , - ,"March 01, 2014 02:37","March 01, 2014 02:37",2,zTEST,VinesDepot,https://www.youtube.com/watch?v=62apDn1D92E,62apDn1D92E,false,Extreme Vine Compilation 300 Vines! (BEST OF 2013),"February 27, 2014 22:27","February 28, 2014 22:46"
3,Austin Miles Geter, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","43,44,45"," - , - , - "," - , - , - ","February 28, 2014 22:54,February 28, 2014 22:54,February 28, 2014 22:54","February 28, 2014 22:54,February 28, 2014 22:54,February 28, 2014 22:54","2,2,2","zTEST,zTEST,zTEST","VinesDepot,VinesDepot,VinesDepot","https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E","62apDn1D92E,62apDn1D92E,62apDn1D92E","false,false,false","Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46"
4,BarkleyThePom, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
5,Bottlerocket, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
6,Brandon Calvillo, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
7,Brennan Tracy, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
8,Brittany Furlan, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","17,20,21","Park, - , - "," - , - , - ","February 28, 2014 02:58,February 28, 2014 22:46,February 28, 2014 22:46","February 28, 2014 02:58,February 28, 2014 22:46,February 28, 2014 22:46","1,2,2","Best VINES of September 2013 Compilation! (100+ VINES),zTEST,zTEST","buzzvines,VinesDepot,VinesDepot","https://www.youtube.com/watch?v=k-CGH052TnM,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E","k-CGH052TnM,62apDn1D92E,62apDn1D92E","false,false,false"," - ,Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 01:04,February 28, 2014 22:46,February 28, 2014 22:46"
9,Brittlestar, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27",82, - , - ,"March 01, 2014 02:38","March 01, 2014 02:38",2,zTEST,VinesDepot,https://www.youtube.com/watch?v=62apDn1D92E,62apDn1D92E,false,Extreme Vine Compilation 300 Vines! (BEST OF 2013),"February 27, 2014 22:27","February 28, 2014 22:46"
10,Bruce Devlin, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
11,Buster Beans, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
12,Chad Perez, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
13,Charlie Classic, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
14,Chip Hoch, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
15,Christian Delgrosso, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","9,10,12,46,47,48,49","Chrisi,Thimas,Christain, - , - , - , - "," - , - , - , - , - , - , - ","February 28, 2014 02:54,February 28, 2014 02:54,February 28, 2014 02:55,February 28, 2014 22:54,February 28, 2014 22:54,February 28, 2014 22:54,February 28, 2014 22:55","February 28, 2014 02:54,February 28, 2014 02:55,February 28, 2014 02:55,February 28, 2014 22:54,February 28, 2014 22:54,February 28, 2014 22:54,February 28, 2014 22:55","1,1,1,2,2,2,2","Best VINES of September 2013 Compilation! (100+ VINES),Best VINES of September 2013 Compilation! (100+ VINES),Best VINES of September 2013 Compilation! (100+ VINES),zTEST,zTEST,zTEST,zTEST","buzzvines,buzzvines,buzzvines,VinesDepot,VinesDepot,VinesDepot,VinesDepot","https://www.youtube.com/watch?v=k-CGH052TnM,https://www.youtube.com/watch?v=k-CGH052TnM,https://www.youtube.com/watch?v=k-CGH052TnM,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E,https://www.youtube.com/watch?v=62apDn1D92E","k-CGH052TnM,k-CGH052TnM,k-CGH052TnM,62apDn1D92E,62apDn1D92E,62apDn1D92E,62apDn1D92E","false,false,false,false,false,false,false"," - , - , - ,Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013),Extreme Vine Compilation 300 Vines! (BEST OF 2013)","February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27,February 27, 2014 22:27","February 28, 2014 01:04,February 28, 2014 01:04,February 28, 2014 01:04,February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46,February 28, 2014 22:46"
16,ComedianChris, - ,true,"February 27, 2014 22:27","February 27, 2014 22:27","","","","","","","","","","","","","",""
